strCam	strCam	strCam
aptHaa	aptHaa	aptHaa
aptOwe	aptOwe	aptOwe
aptRow	aptRow	aptRow
casCas	casCas	casCas
droNov	droNov	droNov
cryCin	cryCin	cryCin
eudEle	eudEle	eudEle
notPer	notPer	notPer
tinGut	tinGut	tinGut
rheAme	rheAme	rheAme
rhePen	rhePen	rhePen
